YEAR,RATE_2Seam,RATE_4Seam,RATE_Cutt,RATE_Curv,RATE_Slid,RATE_Chan,RATE_Sink,RATE_Fork,RATE_Knuc,RATE_Other,SPEED_2Seam,SPEED_4Seam,SPEED_Cutt,SPEED_Curv,SPEED_Slid,SPEED_Chan,SPEED_Sink,SPEED_Fork,SPEED_Knuc,SPEED_Other,WAR
2018,0.1,35.3,0,1.3,12.7,36.7,13.8,0,0,0.1,134,135,0,117.6,125.5,120.4,131.2,0,0,0,1.21
2019,0.7,45,0,0.4,8.4,37.9,7.3,0.4,0,0,130.2,136.1,0,118.3,127.8,122.1,131.7,130.7,0,0,0.34
2020,0.3,36.5,0,1,20.1,31.7,10.5,0,0,0,133.2,137.1,0,120.5,128.4,124.5,133.8,0,0,0,2.99
2021,0,44.3,0,0.9,17.8,31.6,5.5,0,0,0,0,138.2,0,120.9,128.7,124.7,135.2,0,0,0,3.27
2022,0,28.1,0,1,16,38.5,16.5,0,0,0,0,137.5,0,121.1,128.6,124.4,135.3,0,0,0,2.51
2023,0,29.9,0,0.1,17.8,39.4,12.7,0,0,0.1,0,137.2,0,118,128.9,124.9,135.7,0,0,0,1.54
2021,7,53.8,0,16.2,20,0.6,0,2.4,0,0,145.4,149.2,0,117.7,131.7,132.6,0,130.9,0,0,4.09
2022,1.8,68.2,0,13.5,14.7,0.1,0,1.5,0,0.2,145.9,149,0,115.6,132.2,134.3,0,131.3,0,0,5.58
2023,35,0,1.5,31.9,18.7,12.6,0,0,0,0.3,150,149,144.8,131.3,141.7,140.7,0,0,0,145,7.95
2013,8.9,41.4,0.9,3.6,28.2,16.9,0,0,0,0.1,139.5,141,138.9,122.8,130.6,130.4,0,0,0,0,1.53
2020,30,19.3,0,6.5,27.9,12.8,0,3.6,0,0,148.6,149.9,0,125.2,136.8,135.2,0,136.7,0,0,1.15
2013,4.5,39.2,28.2,19.1,6.4,2.1,0,0,0.4,0.2,141.7,142.8,137.6,118.6,133.6,130.9,0,0,122.7,0,5.49
2014,5.1,37.8,23.1,16.1,4.1,8.8,0,0.1,4.8,0.1,140.3,141.8,136.6,117.9,131.9,128.9,0,130,124.4,117,5.52
2015,2.9,35,11.5,18.2,14.2,8.8,0,0.1,6.2,3,139.4,141,136.9,116.6,131.3,129.5,0,134.5,125.7,126,5.37
2013,0,53,0,19.7,3,0,0,24.2,0,0,0,143.7,0,115.1,124.5,0,0,125.6,0,0,0.07
2014,0.6,50.1,0,4.8,4.5,1.7,0,37.9,0,0.4,144.4,145.7,0,118.5,128.2,126.2,0,127,0,110,0.7
2016,0,53.5,0,17.2,13.4,0,0,15.9,0,0,0,144.6,0,119.5,129.8,0,0,128.4,0,0,0.23
2017,0,53.1,0,14.5,4.3,0,0,27.8,0,0.3,0,144.2,0,120.1,127.3,0,0,126.7,0,120,0.69
2018,11,35.6,0,19.8,8.8,0.1,0,24.8,0,0,141.3,142.7,0,119.9,130.4,124.7,0,125.9,0,0,4.09
2019,1.8,42.7,0,14.8,11,1,0,28.5,0,0,142.8,142.4,141,120.9,132.7,127.6,128,127,0,0,1.72
2020,1.1,41.8,0,18.8,12.2,1.5,0,24.6,0,0,140,141.2,0,121,129.1,127.6,0,128.1,0,0,-0.13
2021,0,50.7,0,14.3,2,0,0,33.1,0,0,0,146.2,0,124.4,134.6,0,0,130.5,0,0,1.38
2022,0,41.3,0,6.5,4.9,0,0,47.3,0,0,0,147.3,0,125,136,0,0,131.3,0,0,2.24
2023,0,48.8,0,4.7,2.4,0,0,44.1,0,0,0,146.5,0,123.3,134.4,0,0,130.3,0,0,0.72
2022,11.8,37.4,0,2.2,28.3,20,0,0,0,0.3,142.4,143.7,0,116.9,128.5,127.5,0,0,0,0,5.7
